PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2024-0001,01/01/2024,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,AWP Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,54,15,4 feet to 6 feet,Male,White,29,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0030,01/14/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,No,Black,Male,27,2,1 feet to 3 feet,Male,,31,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2023-0059,02/02/2023,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,Mentally unstable,Yes | Yes,White | Hispanic,Male | Male,45 | 35,9 | 2,0 feet to 1 feet,Female,Black,40,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0101,02/20/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,None detected,Yes | Yes,Black | Hispanic,Male | Male,34 | 37,10 | 4,0 feet to 1 feet,Male,Black,19,Large,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0319,07/07/2023,FOB - Field Operations Bureau,8th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown,Yes,White,Male,36,8,4 feet to 6 feet | 4 feet to 6 feet,Male | Male,Black | Black,14 | 15,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,No | No,Yes | Yes,,Weapon Exhibited,No
FTN2024-0002,01/01/2024,FOB - Field Operations Bureau,1st District,DIU Staff,DIU Staff DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Force (Take Down) | Force (Take Down) | Head Strike (No Wep) | Force (Take Down) | Hands | Hands,L2 | L2 | L3 | L2 | L1 | L1,None detected,Yes | Yes | No | Yes | Yes | Yes,White | White | White | Black | White | Black,Male | Male | Male | Male | Male | Male,45 | 43 | 43 | 63 | 38 | 36,15 | 19 | 19 | 26 | 9 | 4,0 feet to 1 feet,Male,Black,45,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Detention,No | No | No | No | No | No
FTN2023-0002,01/01/2023,PIB - Public Integrity Bureau,Force Investigation Team,PIB,Investigations,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Foggy Condition,Takedown (w/injury) | Firearm (Exhibited) | CEW Deployment,L2 | L1 | L2,Alchohol,Yes | No | Yes,White | White | White,Male | Male | Male,42 | 36 | 26,21 | 6 | 4,1 feet to 3 feet,Male,Race-Unknown,22,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No | No
FTN2023-0003,01/01/2023,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,Black,Male,54,16,1 feet to 3 feet,Female,Black,61,Medium,5'7'' to 5'9'',Yes,Yes,No,,Resisting Officer w/Weapon,No
FTN2023-0001,01/01/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown | Unknown,Yes | Yes,Hispanic | White,Male | Male,37 | 26,4 | 4,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,17 | 18,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No
FTN2023-0006,01/02/2023,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Hands | Hands | Force (Defense Tech),L1 | L1 | L2,Unknown Drugs,No | No | No,Hispanic | White | White,Male | Male | Male,46 | 30 | 30,7 | 7 | 7,0 feet to 1 feet,Male,Hispanic,32,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2023-0007,01/02/2023,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Foggy Condition,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown | Unknown,Yes | Yes | Yes,White | Black | White,Male | Male | Male,36 | 34 | 34,9 | 5 | 5,22 feet to 25 feet | 22 feet to 25 feet | 22 feet to 25 feet,Male | Male | Male,Black | Black | Black,34 | 23 | 23,Large | Large | Large,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No,No | No | No,Yes | Yes | Yes,,Other,No | No | No
FTN2023-0005,01/02/2023,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,Alchohol,Yes | Yes,White | Black,Male | Male,45 | 36,14 | 14,0 feet to 1 feet,Male,Black,44,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0008,01/03/2023,FOB - Field Operations Bureau,6th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,,Firearm (Exhibited) | Force (Take Down) | CEW Exhibited/Laser | Force (Take Down) | Head Strike (No Wep),L1 | L2 | L1 | L2 | L3,None detected,Yes | No | Yes | No | No,White | White | Black | Black | Black,Male | Male | Male | Male | Male,31 | 31 | 26 | 26 | 26,7 | 7 | 4 | 4 | 4,0 feet to 1 feet,Male,Black,43,Medium,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2023-0009,01/03/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | No,Hispanic | White,Male | Male,31 | 41,7 | 6,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,18 | 16,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',Yes | Yes,Yes | Yes,Yes | Yes,,refuse verbal commands,No | No
FTN2023-0010,01/05/2023,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Female | Male,33 | 29,5 | 5,,Male | Male,Black | Black,55 | 51,,,No | No,No | No,Yes | Yes,,Weapon Exhibited,No | No
FTN2023-0011,01/06/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Force (Take Down) | Hands,L1 | L2 | L1,None detected,Yes | Yes | Yes,White | White | Black,Male | Male | Male,31 | 31 | 26,7 | 6 | 4,0 feet to 1 feet,Male,Black,38,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | Yes
FTN2023-0014,01/07/2023,FOB - Field Operations Bureau,8th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Other,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury) | CEW Deployment | CEW Deployment | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L2 | L2 | L1 | L1 | L1,,No | No | No | Yes | No | No | No,White | White | White | White | Black | Black | Black,Male | Male | Male | Male | Female | Male | Male,49 | 45 | 45 | 45 | 51 | 51 | 39,15 | 19 | 19 | 19 | 25 | 23 | 5,1 feet to 3 feet,Male,Black,,Medium,5'7'' to 5'9'',No,Yes,No,,Flight from an Officer,No | No | No | No | No | Yes | No
FTN2023-0015,01/08/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown | Unknown | Unknown,No | No | No,Black | Black | Black,Male | Male | Male,30 | 25 | 24,4 | 3 | 3,15 feet to 18 feet | 15 feet to 18 feet | 15 feet to 18 feet | 15 feet to 18 feet,Male | Male | Male | Female,Black | Black | Black | Black,,Medium | Medium | Medium | Medium,,No | No | No | No,No | No | No | No,No | No | No | No,,refuse verbal commands,No | No | No
FTN2023-0019,01/10/2023,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,White | White,Male | Male,29 | 34,7 | 6,0 feet to 1 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0021,01/10/2023,FOB - Field Operations Bureau,2nd District,,,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | Yes | Yes | Yes,White | Black | Black | Black,Male | Male | Male | Male,35 | 40 | 29 | 31,14 | 19 | 7 | 5,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male | Male,Black | Black | Black | Black,29 | 32 | 20 | 45,,,No | No | No | No,Yes | Yes | Yes | Yes,Yes | Yes | Yes | Yes,,Flight from an Officer,No | No | No | No
FTN2023-0020,01/10/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected | None detected,Yes,White,Male,52,19,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,16 | 18,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,Yes | Yes,No | No,,refuse verbal commands,No
FTN2023-0024,01/11/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Black,Male,24,3,0 feet to 1 feet,Male,Black,23,Small,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No
FTN2023-0022,01/11/2023,FOB - Field Operations Bureau,7th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Female,43,16,1 feet to 3 feet,Male,White,46,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2023-0023,01/11/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,28,5,11 feet to 14 feet,Male,Black,19,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2023-0028,01/13/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Male | Male,38 | 33 | 25 | 24,7 | 5 | 3 | 3,1 feet to 3 feet,Male,Black,28,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2023-0029,01/14/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Alchohol and unknown drugs,Yes,Black,Male,45,4,1 feet to 3 feet,Male,Black,26,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Battery on Police Officer,No
FTN2023-0031,01/15/2023,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Rifle (Pointed) | Firearm (Exhibited) | Canine (Bite),L1 | L1 | L4,None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,37 | 30 | 30,9 | 7 | 7,0 feet to 1 feet,Male,Black,16,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No | No
FTN2023-0032,01/16/2023,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | Black,Male | Male,51 | 39,8 | 16,22 feet to 25 feet,Male,Hispanic,17,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No
FTN2023-0038,01/18/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Firearm (Exhibited) | Takedown (w/injury),L1 | L1 | L2,None detected,Yes | Yes | Yes,White | Black | White,Male | Male | Male,31 | 34 | 30,7 | 7 | 7,1 feet to 3 feet,Male,Black,26,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Flight from an Officer,No | No | No
FTN2023-0037,01/18/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands | Handcuffed Subject,L1 | L1 | L4,Unknown,No | No | No,Black | White | Black,Male | Male | Female,62 | 57 | 33,22 | 33 | 9,0 feet to 1 feet,Female,Black,30,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2023-0039,01/18/2023,FOB - Field Operations Bureau,8th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech),L1 | L1 | L1 | L1,Alchohol,Yes | Yes | Yes | Yes,Black | Black | White | Asian/Pacific Islander,Female | Male | Male | Male,45 | 48 | 29 | 27,22 | 25 | 7 | 5,0 feet to 1 feet,Female,White,33,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2023-0040,01/20/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Baton/PR-24 (Miss) | CEW Deployment,L2 | L2,None detected,No | Yes,Asian/Pacific Islander | White,Male | Male,48 | 33,8 | 4,4 feet to 6 feet,Male,Black,15,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0042,01/21/2023,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Other,Takedown (no injury),L1,Mentally unstable,Yes,Black,Male,26,5,0 feet to 1 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0043,01/22/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Other,Good,Clear Conditions,- Hands (with injury) | - Hands (with injury),L2 | L2,Unknown,Yes | Yes,Asian/Pacific Islander | White,Male | Male,40 | 26,15 | 4,0 feet to 1 feet,Male,White,21,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Battery on Police Officer,No | No
FTN2023-0045,01/22/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,No | No,Black | Black,Male | Male,25 | 24,3 | 3,4 feet to 6 feet,Male,Black,17,Medium,> 6'3'',No,No,Yes,,Flight from an Officer,No | No
FTN2023-0046,01/24/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown Drugs,Yes,Black,Male,24,3,0 feet to 1 feet,Male,Black,43,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0047,01/24/2023,FOB - Field Operations Bureau,8th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Other | Hands,L1 | L1 | L1,Alchohol,Yes | Yes | Yes,Black | White | Black,Male | Male | Male,36 | 38 | 45,6 | 5 | 4,0 feet to 1 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2023-0049,01/26/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol,Yes | Yes,Hispanic | White,Male | Male,37 | 26,4 | 4,0 feet to 1 feet,Male,Black,35,Small,5'4'' to 5'6'',Yes,No,Yes,,Resisting Officer w/Weapon,No | No
FTN2023-0054,01/30/2023,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,35,11,4 feet to 6 feet,Male,Black,,Medium,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No
FTN2023-0055,01/31/2023,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Mentally unstable,Yes,White,Male,39,15,4 feet to 6 feet,Male,White,30,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2023-0056,02/01/2023,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,45 | 46 | 51,17 | 20 | 26,19 feet to 21 feet | 19 feet to 21 feet,Male | Male,Black | Black,20 | 24,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,No | No,,Weapon Exhibited,No | No | No
FTN2023-0057,02/02/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes | Yes,White | Black | White | White | Black,Male | Female | Male | Male | Male,57 | 36 | 36 | 32 | 29,32 | 6 | 7 | 6 | 3,0 feet to 1 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,Yes,No,,refuse verbal commands,Yes | No | No | No | No
FTN2023-0060,02/03/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Force (Take Down),L1 | L1 | L2,Unknown,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,30 | 33 | 33,7 | 5 | 5,1 feet to 3 feet,Male,Black,37,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No | No | No
FTN2023-0058,02/03/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,Mentally unstable,Yes | Yes,White | American Indian/Alaska Native,Female | Male,43 | 44,9 | 8,0 feet to 1 feet,Male,Black,39,Large,5'4'' to 5'6'',No,Yes,No,,refuse verbal commands,No | No
FTN2023-0061,02/05/2023,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands | Takedown (no injury),L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | Black | Black | Black | White,Male | Male | Male | Male | Male,36 | 48 | 55 | 51 | 49,15 | 20 | 31 | 25 | 6,0 feet to 1 feet,Male,Black,36,Large,6'1'' to 6'3'',No,Yes,No,,refuse verbal commands,No | No | No | No | No
FTN2023-0062,02/05/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,Takedown (no injury) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,Black | White,Female | Male,45 | 45,19 | 6,7 feet to 10 feet,Male,Hispanic,35,Large,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No | No
FTN2023-0063,02/05/2023,FOB - Field Operations Bureau,1st District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Force (Take Down),L1 | L2,Unknown | Unknown,Yes | Yes,Black | Black,Male | Male,35 | 35,4 | 4,0 feet to 1 feet | 0 feet to 1 feet,Female | Male,Black | Black,29 | 33,Small | Small,5'0'' to 5'3'' | 5'0'' to 5'3'',Yes | Yes,Yes | Yes,Yes | Yes,,Flight from an Officer,No | No
FTN2023-0065,02/06/2023,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | CEW Deployment | Hands,L1 | L2 | L1,Unknown,No | No | No,White | White | White,Female | Female | Male,58 | 58 | 31,26 | 26 | 6,1 feet to 3 feet,Male,Black,26,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Battery on Police Officer,No | No | Yes
FTN2023-0066,02/06/2023,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,CEW Deployment,L2,None detected,Yes,Black,Male,35,8,7 feet to 10 feet,Male,Black,52,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0067,02/08/2023,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected | None detected | None detected,Yes | Yes,Asian/Pacific Islander | Black,Male | Male,38 | 43,17 | 19,11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet,Female | Female | Male,Black | Black | Black,0 | 33 | 21,Small | Small | Small,5'0'' to 5'3'' | 5'0'' to 5'3'' | 5'0'' to 5'3'',No | No | No,No | No | No,Yes | Yes | Yes,,Weapon Exhibited,No | No
FTN2023-0074,02/08/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Male,25,5,0 feet to 1 feet,Male,Black,39,Medium,5'7'' to 5'9'',No,No,No,,Flight from an Officer,No
FTN2023-0069,02/09/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,29,4,0 feet to 1 feet,Male,Black,15,Large,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0070,02/09/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Hispanic,Male,31,7,0 feet to 1 feet,Male,Black,33,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2023-0072,02/10/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,45 | 50,4 | 2,,Male,Black,25,,,No,No,No,,Flight from an Officer,No | No
FTN2023-0071,02/10/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,White,Male,28,5,15 feet to 18 feet,Male,Black,,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2023-0075,02/11/2023,FOB - Field Operations Bureau,5th District | 7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting | Call for Service,Good,Clear Conditions | Other,Hands | Hands | CEW Deployment,L1 | L1 | L2,Mentally unstable | Alchohol,Yes | Yes | Yes,Black | White | White,Male | Male | Male,45 | 32 | 32,15 | 6 | 7,0 feet to 1 feet | 7 feet to 10 feet,Male | Male,Black | Black,39 | 44,Medium | Medium,5'7'' to 5'9'' | 5'10'' to 6'0'',No | No,Yes | No,No | Yes,,Resisting Lawful Arrest | refuse verbal commands,No | No | No
